U+1228F	𒊏	ẓi, zzi, RA, rah2
U+121BA	𒆺	edakua2
U+121CA	𒇊	
U+121DA	𒇚	muššagana
U+121EA	𒇪	
U+121FA	𒇺	DILIM2, LIŠ, dili2, lis
U+1210B	𒄋	ALIM
U+1211B	𒄛	
U+1212B	𒄫	piš, pis, GIR, PE, ha@t@g, HA@g
U+1213B	𒄻	
U+1214B	𒅋	IL
U+1215B	𒅛	ibira2
U+1216B	𒅫	
U+1217B	𒅻	NUNDUM
U+1218B	𒆋	ugal
U+1219B	𒆛	KAM4
U+121AB	𒆫	
U+121BB	𒆻	AGAR3
U+121CB	𒇋	AGAR2, IMMAX, ŠARA2, bara7, zir3
U+121DB	𒇛	UDUB
U+121EB	𒇫	
U+121FB	𒇻	LU, LUG, NU12, UDU
U+1210C	𒄌	GIRI16, gir16, ĝiri16
U+1211C	𒄜	
U+1212C	𒄬	ḪAL, buru₈, buru8, bur₈, bur8, buluch, buluh
U+1213C	𒄼	
U+1214C	𒅌	
U+1215C	𒅜	UŠ11, uh4
U+1216C	𒅬	
U+1217C	𒅼	
U+1218C	𒆌	
U+1219C	𒆜	KAS, KÁS, KASKAL, eš8, bú, bu2, dana2, ul3, ir7, kaš2
U+121AC	𒆬	KU3, KUG
U+121BC	𒆼	ABLAL
U+121CC	𒇌	dilim3, ellamkuš, immindu, duruna2
U+121DC	𒇜	
U+121EC	𒇬	LAGAR
U+121FC	𒇼	AD3, ADDA2
U+1210D	𒄍	
U+1211D	𒄝	USAN2
U+1212D	𒄭	he, DUB3, DUG3, ḪI, da10, bir7, du10, DUB₂, sagkurini, ʾì, ʾi3, ûmi, xi
U+1213D	𒄽	hup, ḪUB, tu10
U+1214D	𒅍	IL2, gur₃, gur3, guru3, gaĝx, gagx, gaĝₓ, gagₓ, ga6, ĝa6, ÍL
U+1215D	𒅝	ŠEG11, šeg11, si18
U+1216D	𒅭	šilig7
U+1217D	𒅽	
U+1218D	𒆍	bab, kit, KÁN, KA2, KAN4
U+1219D	𒆝	ŠUBTU6
U+121AD	𒆭	KU4, kur9
U+121BD	𒆽	gala4, kala4
U+121CD	𒇍	
U+121DD	𒇝	
U+121ED	𒇭	SU7, SUR12
U+121FD	𒇽	LU2, lú
U+1210E	𒄎	
U+1211E	𒄞	EŠTUB, GU4, GUD, gar4, bahar, alpam
U+1212E	𒄮	sur, SUR3, kazaza, mul3, zinanutu, ziz3, mulₓ
U+1213E	𒄾	ḪUL2, gukkal, BIBRA, BIBRI, KUŠ8, UKUŠ2
U+1214E	𒅎	DID, EM, ENEGIR, IM, IŠKUR, KARKARA, TU15, TUM9, TUMU, muru3, mermer3, zigara, Adad
U+1215E	𒅞	
U+1216E	𒅮	BUN2, bul4, bul₄, bun2, kirix
U+1217E	𒅾	SU6, mangaga, sum4
U+1218E	𒆎	
U+1219E	𒆞	ŠUBTU7
U+121AE	𒆮	
U+121BE	𒆾	
U+121CE	𒇎	
U+121DE	𒇞	
U+121EE	𒇮	
U+121FE	𒇾	
U+1210F	𒄏	
U+1211F	𒄟	ildag2
U+1212F	𒄯	AR3, ARA3, ḪAR, ḪUR, MUR, UR5, kin2, KÍN, kinkin, kikken, huru, semir
U+1213F	𒄿	I
U+1214F	𒅏	kid7
U+1215F	𒅟	
U+1216F	𒅯	
U+1217F	𒅿	mu11
U+1218F	𒆏	GÚB, GÁB, kap, KAB, GUB2, GAB2
U+1219F	𒆟	hir, KEŠ2, GIR₁₁, GIR11, kirid, keše2
U+121AF	𒆯	KU7, dabašin
U+121BF	𒆿	
U+121CF	𒇏	gala5
U+121DF	𒇟	šuš5
U+121EF	𒇯	DU6, dul6, tag4
U+121FF	𒇿	AD6, ADDA
U+12200	𒈀	LU₂×EŠ₂
U+12210	𒈐	AZLAG7, dubal7
U+12220	𒈠	va, MA, PEŠ3, mal
U+12230	𒈰	MUNSUB, MUNŠUB, SUMUR3, sub5
U+12240	𒉀	NAGA, NAĜA, hilib2, teme, teme2, nisaba2
U+12250	𒉐	TUM3
U+12260	𒉠	qabal, MURU2, MURUB4, NISAG, saĝ5, múru
U+12270	𒉰	
U+12280	𒊀	
U+12290	𒊐	rap, ráp, RAB, RáB, raba
U+122A0	𒊠	dilib3
U+122B0	𒊰	bir6, habruda3
U+122C0	𒋀	SIS, ŠEŠ, mun4, sas, ses, muš5, ŠIŠ, aḥu, aḫu
U+122D0	𒋐	nug
U+122E0	𒋠	SIG2, SIK2, SIKI, SÍG
U+122F0	𒋰	tap, TAB, dab2, min6
U+12201	𒈁	er13
U+12211	𒈑	lil8
U+12221	𒈡	
U+12231	𒈱	EGIR6, EĜIR6, MURGU2, MUR7
U+12241	𒉁	
U+12251	𒉑	
U+12261	𒉡	NU, sir5, ul2, nuna, na3
U+12271	𒉱	
U+12281	𒊁	
