⸦	⸧ # LEFT SIDEWAYS U BRACKET
⸧	⸦ # RIGHT SIDEWAYS U BRACKET
⸨	⸩ # LEFT DOUBLE PARENTHESIS
⸩	⸨ # RIGHT DOUBLE PARENTHESIS
⹕	⹖ # LEFT SQUARE BRACKET WITH STROKE
⹖	⹕ # RIGHT SQUARE BRACKET WITH STROKE
⹗	⹘ # LEFT SQUARE BRACKET WITH DOUBLE STROKE
⹘	⹗ # RIGHT SQUARE BRACKET WITH DOUBLE STROKE
⹙	⹚ # TOP HALF LEFT PARENTHESIS
⹚	⹙ # TOP HALF RIGHT PARENTHESIS
⹛	⹜ # BOTTOM HALF LEFT PARENTHESIS
⹜	⹛ # BOTTOM HALF RIGHT PARENTHESIS
〈	〉 # LEFT ANGLE BRACKET
〉	〈 # RIGHT ANGLE BRACKET
《	》 # LEFT DOUBLE ANGLE BRACKET
》	《 # RIGHT DOUBLE ANGLE BRACKET
