704	BOIL (OF LIQUID)	угаӷан	ʊɡaɣan
705	SPOIL (BECOME SPOILED)	аӄ	aq
708	SINK (IN WATER)	улабан	ʊlaban
710	APPEAR	си	ɕi
715	RISE (MOVEMENT)	эськувей	ɛɕkʊvʲɛj
716	GROW	тий	cij
717	SHINE (OF METAL)	къней	kʌɲɛj
719	BE NOISY	әраӷэй	əraɣɛj
721	RING (SIGNAL)	уӄӄат	ʊqːat
723	ROAR (OF SEA)	соӷэй	sɔɣɛj
725	SOUND (OF INSTRUMENT)	быгей	bɨɡʲɛj
726	BARKING	дам	dam
728	BLOW (WITH MOUTH)	угий	ʊɡʲij
729	WHISTLE	кутолей	kʊtɔʎɛj
730	SHOUT	дух	dʊx
731	GROAN	ильтэт	jiʎtɛt
732	TREMBLE	лёкӈ	ʎɔkŋ
733	BE ALIVE	дъʼӄ	dʌʔq
734	BE BORN	си	ɕi
735	BREATHE	элиӈбет	ɛʎiŋbʲɛt
736	DRINK	уро	ʊrɔ
738	SWALLOW	баӈтэва	baŋtɛva
740	FALL ASLEEP	усень	ʊɕɛɲ
741	SLEEP	усень	ʊɕɛɲ
742	WAKE UP	ситэй	ɕitɛj
744	REST	увет	ʊvʲɛt
745	BECOME SICK	ат	at
746	BE ILL	ат	at
747	ACHE	ат	at
748	COUGH	ӄаӄтимей	qaqcimʲɛj
749	RECOVER	аӄтавесь	aqtavʲɛɕ
750	DIE	диёӷо	ɟiʲɔɣɔ
752	MOVE (OF PERSON)	еиӈ	jɛʲiŋ
755	SIT DOWN	уӈ	ʊŋ
756	TUMBLE	дъӄ	dʌq
757	WALK	къʼй	kʌʔj
758	STEP (VERB)	тоӄӈ	tɔqŋ
760	MOVE IN HASTE	ӄоксень	qɔkɕɛɲ
761	HURRY UP	ӄъксень	qʌkɕɛɲ
763	RUN	тоӄтат	tɔqtat
764	JUMP	эʼӈ	ɛʔŋ
766	SEESAW (ACTION)	баёляӈ	baʲɔʎaŋ
767	CRAWL	ун	ʊn
768	SWIM	сюй	ɕʊj
769	DIVE	ни	ɲi
770	ROW	ысь	ɨɕ
771	DRIVE	еиӈ	jɛʲiŋ
772	FLY (MOVE THROUGH AIR)	доӄ	dɔq
773	GO	еиӈ	jɛʲiŋ
774	LEAVE	боготнь	bɔɡɔtɲ
778	ENTER	ӄапӄат	qapqat
779	COME	игбесь	jiɡbʲɛɕ
781	COME BACK	сюгат	ɕʊɡat
783	WAIT (FOR)	даӈот	daŋɔt
784	AWAIT	даӈот	daŋɔt
785	LOOK FOR	сяӈбет	ɕaŋbʲɛt
786	FIND	бъг	bʌɡ
787	TRY	ботыӈ	bɔtɨŋ
789	LOVE	лювет	ʎuvʲɛt
791	LAUGH	даӷ	daɣ
793	CRY	ӄоʼт	qɔʔt
794	GRUMBLE	дысь	dɨɕ
795	BE ANNOYED	ӄойбесь	qɔjbʲɛɕ
796	BE AFRAID	коран	kɔran
797	FEAR (BE AFRAID)	ӄорень	qɔrʲɛɲ
799	ESCAPE	тутаӈ	tʊtaŋ
800	SEE	төӈ	tœŋ
801	LOOK	лёӈаль	ʎɔŋaʎ
804	LISTEN	эӄтий	ɛqcij
805	TASTE (SOMETHING)	аӈый	aŋɨj
806	SMELL (PERCEIVE)	итэй	jitɛj
807	FEEL (TACTUALLY)	ыньбагавере	ɨɲbaɡavʲɛrʲɛ
810	HEAR (INFORMATION)	эӄтий	ɛqcij
811	SHIVER	тъъль	tʌːʎ
