Nr	english	normed cuneiform 	word / syllables		PIE
5.710 	fruit 	𒄷𒌨𒉿;	hurpi; hu-ur-pi; 	ok?	pruih reverse!  
5.750 	fig 	𒉿𒌓	pi-ut-	++	pruit > fruit  fruct>frc>fig
5.760 	grape 	𒃻𒀊𒉼𒈾;	šá-ap-pan-na; šap	<<++	•srp > sap saft
5.790 	oil 	𒀊𒉿	appi; ap-pi	ok?	appion 𓄡 𓊪 𓈖 𓃾  πίων píōn 𓊪𓈖
5.791 	grease, fat 	𒀋;𒀊𒁀	abba; ab-ba	ok?	a'phat appion 𓄡 𓊪 𓈖 𓃾  πίων píōn 𓊪𓈖
5.810 	salt 	𒀭𒍢	anzi; an-zí	-----	asin 盐 sièng давсн dansun  소금 ⵜⵉⵙⵏⵜ f tisnt ꞌúnaˢ নুন nunˢ öönga oónaˢ nzauv
5.840 	honey 	𒄬𒆷𒆠	hal -la -ki	<<<	galak <> holaik <> Honig (NL!) hingiv  ھەنگوین‎ henguyn    galak <> milk miel μέλῐ méli 𐌼𐌹𐌻𐌹𐌸 miliþ մեղր mełr misk'i malab  galak <> kûdyung   
5.860 	milk (noun) 	𒁍𒈾	sir-na	++	шура ʃu͡ʊrə šir sîr zsír √sour @Ural/Caucas
5.880 	cheese 	𒉺	pa	++™	պանիր panir पनीर panīr পনিৰ (ponir) pendir (az)  Tatar: penir Ewe: notsi babla  𐂤? <> pan? @𓃀/
5.940 	fermented drink 	𒀭𒈾𒅔	an-na-in	™	wineⁿ?
6.130 	tailor 	𒃻𒄴𒅆𒅅𒊏	šá-h-ši-ik-ra	ok???	sack-secker {Schneider}
6.210 	cloth 	𒌓𒅆𒌝;𒅅𒁷	tam-ši-um	<<++!	ta.maschium Maschen mesh gamaschen @ Damaskus?
6.210 	cloth 	𒅅𒁷	ik-tin	++!	кездеме kezdeme ткані́на tkanína туҡыма tuqıma permutated  < clothin' !?  aktin-filamente;) Kitteln?  ქსოვილი ksovili  сукно́ suknó techno ټوکر‎ ṭukər Tuch  textilia texta 
6.220 	wool 	𒌇𒆠𒈨;𒌇𒈾;𒅎𒈾	tuk-ki-me; tuk-na; im-na	++	Tuch 𔕬 tú •Tuch 𔕪 tex 𔕫 𔕩 𒌆⋍𒉇 TÚG² 𒋳
6.220 	wool 	𒅎𒈾	im-na		"𓋳 𒅎𒈾 ᵍim-na 𓋴 𓏠 𓈖 ""cloth"""
6.230 	linen, flax 	𒍝𒇷	zali; za-li	++	სელი seli Seil cable Catalan: lli < linen
6.240 	cotton 	𒋡𒇷𒌓	qa-li-tam	++	colttom coltton
6.270 	felt 	𒁕𒁇𒊑𒌝	da-bar-ri-um	<<!!	dabar > der 𓂧𓂋𓄛  θήρ ?
6.290 	leather 	𒃻𒅕𒃻𒀜𒋾	šá-ir-šá-at-ti	++	𓂧 𓂋 𓄛 …
6.330 	weave 	𒆳𒍝𒅖;𒆳𒍝𒋡	kurza-; kur-za-iš; kur-za-qa	<<<	kürzen;) > kutoa kuduma kude > cut
6.410 	cloak 	𒊌𒆪𒆷𒆠	uk-ku-la-ki	+++	a'cloak
6.430 	coat 	𒄷𒂖𒅁	hu-el-ip	+++	Hülle < 𓎛 𓃀 𓋳
6.510 	shoe 	𒄩𒃻𒅕	ha-šá-ir	ok?	ha.shoer
6.550 	hat, cap 	𒊌𒆪𒁀𒋾	uk-ku.ba-ti	++?	a'cap™
6.580 	glove 	𒆳𒅁	kur-ip	++™	𓂧 χειρό 𓎼 𓄿 𓃀 𓂢  ⋆carp
6.710 	ornament, adornment 	𒋡𒅈𒊏𒄴;𒋡𒅈𒊏𒄩	qa-ar-ra-h; qa-ar-ra-ha	™?	𓄡 𓎡 𓂋 𓅱 𓐬 𓏛 𓏥  ; 𓅱 𓋴 𓐍 𓋝 
6.730 	ring (for finger) 	𒊮𒈪;𒋛𒈪𒀉𒌈	šà-mi; si-mi-it-tum	++™?	𓈙 𓈖 𓍶 Saum 𓍲 𓈖 𓏌 𓍶
6.910 	comb 	𒄴𒄷𒌝;𒀀𒄴𒄷𒅎	ah-hu-um; a-h-hu-im	++?	a' ḫom < a Kamm < comb
6.940 	ointment 	𒄩𒋢𒅁;𒈪𒅕𒊑𒄴	mi-ir-ri-h	™???	𓐛 𓊃 𓏲 𓏌 𓏥  mhyrre
6.940 	ointment 	𒄩𒋢𒅁;𒈪𒅕𒊑𒄴	hasu; ha-su-ip	<<<++?	soap <> soup !?!
6.960 	mirror 	𒋗𒄩;𒋗𒄩𒍣𒆷	šu-ha; šu-ha.zi-la		𓋹 𓏤 𓈔  / 𓌴 𓁹 𓄿 𓅱 𓁷 𓏤 𓈔 
