Tall highest -> Deus,Tall Don,大 da    太 tài  ,𓏚 DA,,𓌽 ger ~ groß?   tai-cent=Tausend  Daisen-dorf Zeus God 
tab@SEM top!,top!,太 tàip  ,,,
highest god,Theus/ Deus/ day,帝 Teis,𓏙 DEI  TEI  𓌅,,Tag/ Tuesday/ Zeus/ … Tai-Ping=aufs TaPeth=Peace  Titans TeuTeuTeuTonen!
sky,dawn/ time,天 tiān,DU.AN 𓇽,,Duall: Air+Terr/ … Turnus/ Duat/ Tiamaat
dog,chien (fr: dog),大 Da+g=dog: ⽝ quǎn,daquan,Dax,Doggen dackeln
eye  oijen=Augen,moin Meyer,目 眼 mùyǎn,møyen,møyen 	 𓁹   D4,Meyer = Aufseher  ->  YAN~Gen!            眸 móu=eye
sleep,schluiph,睡 shuì,,<> shu = sun,
Wasser,Schauer,水 shuǐ,,<> Schu = Petrus,
Lamm Jungen,young goat,羊羔 yánggāo,,,
sankt,sankh 𓋹,生 shēng,,sank   𓋩  -> E31  𓃶    𓋹,冰 bīng
live,rise  𓌘,日子 rìzi,,𓌘 rise,
,schön,娟 juān/ 嬋 chán,,,
foreign!,farn-rainer,番 fān ,,盘 pán  凡 fán 𓅚 ,梵 fàn ƒan’script  sanskritisch  Vanen!? WAN WÀN 卍 王 ≠ 壬 VENG (9. Himmelsziffer) ~ 人 REN / gong neun? An Fang?
universal/ common,pan,普 pǔ/ 朴 pǔ	 	
,,盘 pán  凡 fán 𓅚 ,PUNI= Phønit/ PAN/ VAN/ Bande/ PUK Volk! Pucker Fugger Voigter,,,,,Briten,,,
band/ bunch/ bundle,Bund,卜 bǔ,𓇪,𓇩  -bu  M40,卜 bǔ wahrsagen: (Riss-)Bänder/Bücher/Stäbe deuten  ~ fascie-nierend/ fasces 卜 fork? yaw?,,,,,confess!,,,
butler [serf/commoner],Puck/ Pack(esel)/ populus,仆 pú,,,捕 bǔ verhaften/ 怖 bù befürchten/ 补 bǔ flicken/ etc
back of south: north,back: rück / Buckel,北 bei / puuk,,𓐟 ,
but no!,un poko卜 bǔ boo!,不 bù,,,«buckel runter»
butt [in buttocks],butt ,步 bù,,,
purzeln [tumble],push,仆 pū,,,
pitch/ rush,push,扑 pū,,,
poor quality,kaput,破 pò,,,
