Nr	english	word / syllables	PIE	normed cuneiform
20.250 	arrow 	ti-ut-ti-um; hi-iš-ki; sa-h		
20.260 	spear 	šu-kur-ru-um		
20.330 	helmet 	kar-ik		
20.410 	victory 	me-te		
20.480 	booty, spoils 	pu-uk-ri-ir		
21.110 	law 	šu-du-ur; šu-tur		
21.230 	witness 	gini; ginu; gi-ni-ip; gi-ni-pi; gi-nu-ip		
21.240 	swear 	gi-ri-ip; gi-ri		
21.520 	thief 	tu-uš-šu-íp		
22.120 	God 	nap; nab; na-ap; na-ab-ba; na-ap-pi; na-bí-ip		
22.150 	sacrifice, offering 	dala; da-la		
22.180 	priest 	šà-ti; šá-tin; šá-tan		
22.190 	holy, sacred 	ak-pi; ak-pi-ip		
22.310 	heaven 	kik; ki-ki-in; ki-ki-ip; ki-ik 		
