folio	side	line	text
17	front	3	chol.or.chy.qodam.okor.chor.okchom<$>
17	front	4	tcho@154;.shol.qokol.qor.olaiin.opydg.<->som.ypchy.ypaim
17	front	5	ychekchy.cthy.chor.shor.cphor.cphaldy.<->dair.cthey.qody
17	front	6	tsho.qof
17	front	7	ksheo.qokchy.choldshy.zepchy.<->d{c'a}.<->opchordy
17	front	8	dchchy.dychear.schar.ykchy
17	front	9	soy.chckho.o.da[s:r].chypcham
17	front	10	dar.chear.dcheor.[s:?]ain.y.mol
17	front	11	otchol.cthar.okaiin.chol.daiiin
17	front	12	ychod
17	front	13	oteeeon.oiil
17	back	1	pchodol.chor.pchy.opydaiin.odal,dy
17	back	2	ycheey.keeor.cthodal.okol.odaiin.okal
17	back	3	oldaig.odaiin.okal.oldaiin.chockhol.olol
17	back	4	kchor.fchol.cphol.olcheol.ok[e:ee]eey
17	back	5	ychol.chol.dolcheey.tchol.dar.ckhy
17	back	6	oekor.or.okaiin.or.otaiin,d
17	back	7	sor.chkeey.poiis.cheor.os.s.aiin
17	back	8	qokeey.kchar.ol.dy.choldaiin.sy
17	back	9	ycheol.shol.kchol.choltaiin.ol
17	back	10	oytor.okeor.okar.okol.daiir,a[r:m]
17	back	11	qokcheo.qokoiir.ctheol.chol
17	back	12	oy.choy.keaiin.chckhey.ol.chor
17	back	13	ykeor.chol.chol.cthol.chkor.sheol
17	back	14	olo.r.okeeol.chodaiin.okeol.tchory
17	back	15	ychor.cthy.che'eky.cheo.otor.oteol
17	back	16	okcheol.chol.okeol.cthol.otcheolom
17	back	17	qoain.[s:{e'}]ar.she.dol.qopchaiin.cthor
17	back	18	otor.cheeor.ol.chol.dor.chr.or,eees
17	back	19	dain.chey.qoaiin.cthor.cholchom
17	back	20	ykeey.okeey.cheor.chol.sho.odaiin
17	back	21	oal.sheor.sholor.or.shecthy.cpheor.daiin
17	back	22	qokeee.dar.chey.keeor.cheeol.ctheey.cthy
17	back	23	chkeey.okeor.sh[a:o]r.okeom<$>
18	front	1	pdrairdy.darod{cf}.yoar.ykchol.dar.om.chckhy.<->octhor.dal
18	front	2	otshol.qokchol.chykchy.okchal.daiin.dy.<->chol.dain
18	front	3	qokchor.chor.{c@139;h}{@158;k}ey.orytcharg
18	front	4	chor.[cth:{ith}]th
18	front	5	tchor.shor.cthaiin.cthol.chlol.chom
18	front	6	ychy.kchor.dair.ytol.chcthy.dar.dar.dal
18	front	7	oshor.shaiin.cthy.sholdy.doldy.<->doldaiin
18	front	8	qokchor.ckhol.olody.okaldary
18	front	9	chol.chcthal.okshal.chykald
18	front	10	dar.shor.qokchol.ol.ydaiin
18	front	11	sotchaiin.chokchy.chckhol.chor.g
18	front	12	ychair.cthol.daiin.qokchy.cthy
18	front	13	or.shaiin.cth[a:o]r.cthal.okal.dar
18	front	14	<!centred>ychekch
18	back	1	told.shor.ytshy.otchdal.dchal.dchy.ytdg
