chain_id	row_type	step	count	chain_length	codes	glyphs	from_code	from_glyph	to_code	to_glyph
9	summary			6	M285~c M386~a/M386~d/M386 M219/M219~s M371/M371~c/M371~a/M371~d M124/M242~ab/M242~b/M242~n/M218/M218~b/M047/M388 M288/M288~d/M288~a/M288~f/M288~e	𜄧 𜋺/𜋻/𜋸 𜀈/𜀋 𜊩/𜊬/𜊪/𜊭 𛻃/𜀻/𜀼/𜁂/𛿺/𜀄/𛷊/𜌓 𜄱/𜄸/𜄵/𜄺/𜄹				
9	step	1	1				M285~c	𜄧	M386~a	𜋺
9	step	1	1				M285~k	𜄪	M386~a	𜋺
9	step	2	2				M386~a	𜋺	M219	𜀈
9	step	3	2				M219	𜀈	M371	𜊩
9	step	4	6				M371	𜊩	M124	𛻃
9	step	4	4				M371	𜊩	M388	𜌓
9	step	4	1				M371	𜊩	M218~b	𜀄
9	step	4	1				M371	𜊩	M218	𛿺
9	step	4	1				M371	𜊩	M124~a	𛻄
9	step	4	1				M371~c	𜊬	M218	𛿺
9	step	5	21				M124	𛻃	M288	𜄱
9	step	5	19				M388	𜌓	M288	𜄱
9	step	5	9				M218	𛿺	M288	𜄱
9	step	5	2				M047	𛷊	M288	𜄱
9	step	5	1				M242~b	𜀼	M288	𜄱
9	step	5	1				M242~ab	𜀻	M288	𜄱
9	step	5	1				M124	𛻃	M288~i	𜄽
10	summary			6	M052~a M248~c/M248~a/M248~g/M248 M297/M297~b/M297~d/M297~bc M218/M218~b/M242~ab/M242~b/M242~n/M124/M047/M388 M288/M288~d/M288~a/M288~f/M288~e M124/M242~ab/M242~b/M242~n/M218/M218~b/M047/M388	𛷦 𜁫/𜁩/𜁰/𜁨 𜅸/𜅻/𜆀/𜅽 𛿺/𜀄/𜀻/𜀼/𜁂/𛻃/𛷊/𜌓 𜄱/𜄸/𜄵/𜄺/𜄹 𛻃/𜀻/𜀼/𜁂/𛿺/𜀄/𛷊/𜌓				
10	step	1	2				M052~a	𛷦	M248~g	𜁰
10	step	2	1				M248~d	𜁭	M297	𜅸
10	step	2	1				M248	𜁨	M297	𜅸
10	step	3	4				M297	𜅸	M388	𜌓
10	step	3	4				M297	𜅸	M218	𛿺
10	step	3	2				M297~b	𜅻	M218	𛿺
10	step	4	21				M124	𛻃	M288	𜄱
10	step	4	19				M388	𜌓	M288	𜄱
10	step	4	9				M218	𛿺	M288	𜄱
10	step	4	2				M047	𛷊	M288	𜄱
10	step	4	1				M242~b	𜀼	M288	𜄱
10	step	4	1				M242~ab	𜀻	M288	𜄱
10	step	4	1				M124	𛻃	M288~i	𜄽
