Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+131E3	𓇣	U+F31E3	󳇣	u131E3
U+131E4	𓇤	U+F31E4	󳇤	u131E4
U+131E5	𓇥	U+F31E5	󳇥	u131E5
U+131E6	𓇦	U+F31E6	󳇦	u131E6
U+131E7	𓇧	U+F31E7	󳇧	u131E7
U+131E8	𓇨	U+F31E8	󳇨	u131E8
U+131E9	𓇩	U+F31E9	󳇩	u131E9
U+131EA	𓇪	U+F31EA	󳇪	u131EA
U+131EB	𓇫	U+F31EB	󳇫	u131EB
U+131EC	𓇬	U+F31EC	󳇬	u131EC
U+131ED	𓇭	U+F31ED	󳇭	u131ED
U+131EE	𓇮	U+F31EE	󳇮	u131EE
U+131EF	𓇯	U+F31EF	󳇯	u131EF
U+131F0	𓇰	U+F31F0	󳇰	u131F0
U+131F1	𓇱	U+F31F1	󳇱	u131F1
U+131F2	𓇲	U+F31F2	󳇲	u131F2
U+131F3	𓇳	U+F31F3	󳇳	u131F3
U+131F4	𓇴	U+F31F4	󳇴	u131F4
U+131F5	𓇵	U+F31F5	󳇵	u131F5
U+131F6	𓇶	U+F31F6	󳇶	u131F6
U+131F7	𓇷	U+F31F7	󳇷	u131F7
U+131F8	𓇸	U+F31F8	󳇸	u131F8
U+131F9	𓇹	U+F31F9	󳇹	u131F9
U+131FA	𓇺	U+F31FA	󳇺	u131FA
U+131FB	𓇻	U+F31FB	󳇻	u131FB
U+131FC	𓇼	U+F31FC	󳇼	u131FC
U+131FD	𓇽	U+F31FD	󳇽	u131FD
U+131FE	𓇾	U+F31FE	󳇾	u131FE
U+131FF	𓇿	U+F31FF	󳇿	u131FF
U+13200	𓈀	U+F3200	󳈀	u13200
U+13201	𓈁	U+F3201	󳈁	u13201
U+13202	𓈂	U+F3202	󳈂	u13202
U+13203	𓈃	U+F3203	󳈃	u13203
U+13204	𓈄	U+F3204	󳈄	u13204
U+13205	𓈅	U+F3205	󳈅	u13205
U+13206	𓈆	U+F3206	󳈆	u13206
