Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+13182	𓆂	U+33182	𳆂	u13182
U+13183	𓆃	U+33183	𳆃	u13183
U+13184	𓆄	U+33184	𳆄	u13184
U+13185	𓆅	U+33185	𳆅	u13185
U+13186	𓆆	U+33186	𳆆	u13186
U+13187	𓆇	U+33187	𳆇	u13187
U+13188	𓆈	U+33188	𳆈	u13188
U+13189	𓆉	U+33189	𳆉	u13189
U+1318A	𓆊	U+3318A	𳆊	u1318A
U+1318B	𓆋	U+3318B	𳆋	u1318B
U+1318C	𓆌	U+3318C	𳆌	u1318C
U+1318D	𓆍	U+3318D	𳆍	u1318D
U+1318E	𓆎	U+3318E	𳆎	u1318E
U+1318F	𓆏	U+3318F	𳆏	u1318F
U+13190	𓆐	U+33190	𳆐	u13190
U+13191	𓆑	U+33191	𳆑	u13191
U+13192	𓆒	U+33192	𳆒	u13192
U+13193	𓆓	U+33193	𳆓	u13193
U+13194	𓆔	U+33194	𳆔	u13194
U+13195	𓆕	U+33195	𳆕	u13195
U+13196	𓆖	U+33196	𳆖	u13196
U+13197	𓆗	U+33197	𳆗	u13197
U+13198	𓆘	U+33198	𳆘	u13198
U+13199	𓆙	U+33199	𳆙	u13199
U+1319A	𓆚	U+3319A	𳆚	u1319A
U+1319B	𓆛	U+3319B	𳆛	u1319B
U+1319C	𓆜	U+3319C	𳆜	u1319C
U+1319D	𓆝	U+3319D	𳆝	u1319D
U+1319E	𓆞	U+3319E	𳆞	u1319E
U+1319F	𓆟	U+3319F	𳆟	u1319F
U+131A0	𓆠	U+331A0	𳆠	u131A0
U+131A1	𓆡	U+331A1	𳆡	u131A1
U+131A2	𓆢	U+331A2	𳆢	u131A2
U+131A3	𓆣	U+331A3	𳆣	u131A3
U+131A4	𓆤	U+331A4	𳆤	u131A4
U+131A5	𓆥	U+331A5	𳆥	u131A5
U+131A6	𓆦	U+331A6	𳆦	u131A6
U+131A7	𓆧	U+331A7	𳆧	u131A7
U+131A8	𓆨	U+331A8	𳆨	u131A8
U+131A9	𓆩	U+331A9	𳆩	u131A9
U+131AA	𓆪	U+331AA	𳆪	u131AA
U+131AB	𓆫	U+331AB	𳆫	u131AB
U+131AC	𓆬	U+331AC	𳆬	u131AC
U+131AD	𓆭	U+331AD	𳆭	u131AD
U+131AE	𓆮	U+331AE	𳆮	u131AE
U+131AF	𓆯	U+331AF	𳆯	u131AF
U+131B0	𓆰	U+331B0	𳆰	u131B0
U+131B1	𓆱	U+331B1	𳆱	u131B1
U+131B2	𓆲	U+331B2	𳆲	u131B2
U+131B3	𓆳	U+331B3	𳆳	u131B3
U+131B4	𓆴	U+331B4	𳆴	u131B4
U+131B5	𓆵	U+331B5	𳆵	u131B5
U+131B6	𓆶	U+331B6	𳆶	u131B6
U+131B7	𓆷	U+331B7	𳆷	u131B7
U+131B8	𓆸	U+331B8	𳆸	u131B8
U+131B9	𓆹	U+331B9	𳆹	u131B9
U+131BA	𓆺	U+331BA	𳆺	u131BA
U+131BB	𓆻	U+331BB	𳆻	u131BB
U+131BC	𓆼	U+331BC	𳆼	u131BC
U+131BD	𓆽	U+331BD	𳆽	u131BD
U+131BE	𓆾	U+331BE	𳆾	u131BE
U+131BF	𓆿	U+331BF	𳆿	u131BF
U+131C0	𓇀	U+331C0	𳇀	u131C0
U+131C1	𓇁	U+331C1	𳇁	u131C1
U+131C2	𓇂	U+331C2	𳇂	u131C2
U+131C3	𓇃	U+331C3	𳇃	u131C3
U+131C4	𓇄	U+331C4	𳇄	u131C4
U+131C5	𓇅	U+331C5	𳇅	u131C5
U+131C6	𓇆	U+331C6	𳇆	u131C6
U+131C7	𓇇	U+331C7	𳇇	u131C7
U+131C8	𓇈	U+331C8	𳇈	u131C8
U+131C9	𓇉	U+331C9	𳇉	u131C9
U+131CA	𓇊	U+331CA	𳇊	u131CA
U+131CB	𓇋	U+331CB	𳇋	u131CB
U+131CC	𓇌	U+331CC	𳇌	u131CC
U+131CD	𓇍	U+331CD	𳇍	u131CD
U+131CE	𓇎	U+331CE	𳇎	u131CE
U+131CF	𓇏	U+331CF	𳇏	u131CF
U+131D0	𓇐	U+331D0	𳇐	u131D0
U+131D1	𓇑	U+331D1	𳇑	u131D1
U+131D2	𓇒	U+331D2	𳇒	u131D2
U+131D3	𓇓	U+331D3	𳇓	u131D3
U+131D4	𓇔	U+331D4	𳇔	u131D4
U+131D5	𓇕	U+331D5	𳇕	u131D5
U+131D6	𓇖	U+331D6	𳇖	u131D6
U+131D7	𓇗	U+331D7	𳇗	u131D7
U+131D8	𓇘	U+331D8	𳇘	u131D8
U+131D9	𓇙	U+331D9	𳇙	u131D9
U+131DA	𓇚	U+331DA	𳇚	u131DA
U+131DB	𓇛	U+331DB	𳇛	u131DB
U+131DC	𓇜	U+331DC	𳇜	u131DC
U+131DD	𓇝	U+331DD	𳇝	u131DD
U+131DE	𓇞	U+331DE	𳇞	u131DE
U+131DF	𓇟	U+331DF	𳇟	u131DF
U+131E0	𓇠	U+331E0	𳇠	u131E0
U+131E1	𓇡	U+331E1	𳇡	u131E1
U+131E2	𓇢	U+331E2	𳇢	u131E2
U+131E3	𓇣	U+331E3	𳇣	u131E3
U+131E4	𓇤	U+331E4	𳇤	u131E4
U+131E5	𓇥	U+331E5	𳇥	u131E5
U+131E6	𓇦	U+331E6	𳇦	u131E6
U+131E7	𓇧	U+331E7	𳇧	u131E7
U+131E8	𓇨	U+331E8	𳇨	u131E8
U+131E9	𓇩	U+331E9	𳇩	u131E9
U+131EA	𓇪	U+331EA	𳇪	u131EA
U+131EB	𓇫	U+331EB	𳇫	u131EB
U+131EC	𓇬	U+331EC	𳇬	u131EC
U+131ED	𓇭	U+331ED	𳇭	u131ED
U+131EE	𓇮	U+331EE	𳇮	u131EE
U+131EF	𓇯	U+331EF	𳇯	u131EF
U+131F0	𓇰	U+331F0	𳇰	u131F0
U+131F1	𓇱	U+331F1	𳇱	u131F1
U+131F2	𓇲	U+331F2	𳇲	u131F2
U+131F3	𓇳	U+331F3	𳇳	u131F3
U+131F4	𓇴	U+331F4	𳇴	u131F4
U+131F5	𓇵	U+331F5	𳇵	u131F5
U+131F6	𓇶	U+331F6	𳇶	u131F6
U+131F7	𓇷	U+331F7	𳇷	u131F7
U+131F8	𓇸	U+331F8	𳇸	u131F8
