 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
95	to suck 	చీకు (cīku) 	suck.un		உறிஞ்சு (urinju), (uri) 	ഈമ്പ് (/iːmpɨ̆/), ചപ്പ് (/t͡ʃappɨ̆/) 	ಚೀಪು				
96	to spit 	ఉమ్ము (ummu) 			துப்பு (thuppu) 	തുപ്പ്‌ (/t̪uppɨ̆/) 	ಉಗುಳು				
97	to vomit 	కక్కు (kakku) 	kotz.un		கக்கு (kakku) 	കക്ക് (/kakkɨ̆/), കമട്ട് (/kamaʈʈɨ̆/), ഛർദിക്ക് (/t͡ʃʰaɾd̪ikkɨ̆/) 	ಕಾರು				
98	to blow (as wind) 	ఊదు (ūdu) (transitive), వీచు (vīcu) (intransitive) 	Vudu vent.un vic.en		ஊது (ūthu) 	ഊത് (/uːt̪ɨ̆/) (transitive), വീശ് (/ʋiːɕɨ̆/) (intransitive) 	ಊದು				
99	to breathe 	ఊపిరి పీల్చు (ūpiri pīlcu) 			மூச்சுவிடு (moochuvidu) 	[[]] 	ಉಸಿರು+ಆಡು				
100	to laugh 	నవ్వు (navvu) 			சிரி (ciri),நகை(/nagai/) 	ചിരി (/t͡ʃiɾi/) 	ನಗು				
101	to see 	చూచు (cūcu) 	guck!	🗸	பார் (/Paar/), காண்(/kaaṇ)(Visual), நோக்கு(/Nookku/)(For observe) 	കാണ് (/kaːɳɨ̆/) 	ನೋಡು				
102	to hear 	విను (vinu) 	vsense		கேள் (kēḷ) 	കേൾക്ക് (/keːɭkkɨ̆/) 	ಕೇಳು				
103	to know (a fact) 	తెలుసుకొను (telusukonu), ఎరుగు (erugu) 	ergo!		அறி (aṟi), தெரி (/theri/) 	അറിയ് (/arijɨ̆/) 	ತಿಳಿ				
104	to think 	ఆలోచించు (ālōcincu) 	al.think!	<<	நினை (niṉai) 	നിനയ്ക്ക് (/n̪inajkkɨ̆/) 	ಯೋಚಿಸು				
105	to smell (sense odor) 	వాసన చూచు (vāsana cūcu), మూచ్చూచు (mūccūcu) 			மோ(/Mo/),நுகர் (nugar) 	മണക്ക് (/maɳakkɨ̆/) 	ಮೂಸು				
106	to fear 	బెదురు (beduru), భయపడు(bhayapaḍu) 			அஞ்சு (añju),பேடி(/Pedi/) 	പേടിക്ക്‌ (/peːʈikkɨ̆/) 	ಹೆದರು				
107	to sleep 	కునుకు (kunuku), తూగు (tūgu), నిద్ర పోవు (nidra pōvu) 			தூங்கு (tūṅgu), உறங்கு(/Uranku/) 	ഉറങ്ങ്‌ (/uraŋŋɨ̆/), ചായ് (/t͡ʃaːjɨ̆/) (from repose), ചരിയ് (/t͡ʃaɾijɨ̆/) (from repose) 	ಮಲಗು				
108	to live 	బతుకు (batuku) 			வாழ் (vāḻ) 	വാഴ് (/ʋaːɻɨ̆/) 	ಬಾಳು				
109	to die 	చచ్చు (caccu) 	;) cease	+?	சாவு (cā),இற(/ira/) 	ചാക് (/t͡ʃaːkɨ̆/) 	ಸಾಯಿ				
110	to kill 	చంపు (caMpu) 	Cap ~ 𓌪 𓂝 kill~kelle		கொல் (kol) 	കൊല്ല് (/kollɨ̆/) 	ಕೊಲ್ಲು)				
111	to fight 	పోరాడు (pōrāḍu) 	~~		போராடு (/poradu/), சண்டையிடு (saṇdaiyidu), பொருது (/poɾut̪ɨ̆/), மோது(/modhu/) 	പൊരുത് (/poɾut̪ɨ̆/), പോരാട് (/poːɾaːʈɨ̆/) 	ಹೋರಾಡು				
