		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
211	WIFE	зуда	zu͡ʊdə	zote = WOMAN 	211	WIFE	аҧҳəыс	ɑpʰħəɨs	ɑpʰ Haus		
212	JOY	самукъа	səmu͡ʊqʼə	sym…?	212	JOY	агəырӷьара	ɑɡəɨrʁʲerɑ			
212	JOY	хазахетар	xəzəxetər		213	LAUGHTER	ачча	ɑt͡ʃʰt͡ʃʰɑ			
213	LAUGHTER	белам	beləm	plem plem	213	LAUGHTER	аччара	ɑt͡ʃʰt͡ʃʰɑrɑ			
214	HAPPINESS	ирс	ɪrs		214	HAPPINESS	аразҟы	ɑrɑzqʼɨ	"ирс	ɪrs"	<<	
215	GRIEF	бала	bələ	beleid :(	215	GRIEF	агəырҩа	ɑɡəɨrɥɑ	agony, anger	++	
216	LONGING	лаам	ləəm	lomg	216	LONGING	агəхəтəы	ɑɡəχətʼəɨ			
					216	LONGING	аҭахра	ɑtʰɑχrɑ			
217	DESIRE	лаам	ləəm	lomg	217	DESIRE	агəазыҳəара	ɑɡəɑzɨħəɑrɑ			
218	SPIRIT	са	sə		218	SPIRIT	аҧсы	ɑpʰsɨ	ɑpʰ sɨ(rit)  soul		
219	THOUGHT	ойла	oɪ̆lə		219	THOUGHT	ахəыцырҭа	ɑχəɨt͡sʰɨrtʰɑ			
220	MEMORY	диццадалар	dɪt͡sːədələr	thoughts.ler	220	MEMORY	агəынкылара	ɑɡəɨnkʼɨlɑrɑ			
221	MIND	хьекъал	ʜeqʼəl	hex	221	MIND	ахшыҩ	ɑχʂɨɥ			
