No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 	Korean (RRK) 	Japanese (Hepburn romanization)
179	year 	yıl 	Year <> yeal ++	жыл 	жил 	aŋŋanɪ 	aniya 	hae 	toshi
180	warm 	sıcak 	schwühls++	жылуу 	халуун, бүлээн 	ɲama 	bulukan, halukan 	ttatteut-ha- 	atataka-
181	cold 	soğuk 	soak	суук 	хүйтэн, сэрүүн 	iŋin 	šahūrun 	cha- chagap-/chagaw- chup-/chuw- (of the weather) sig- ('to cool off') 	tsumeta- samu- (of the weather) same- ('to cool off') hie- ('to get cold')
182	full 	dolu 	Doll ~ voll < dval, schwell ++	толук, толтура 	дүүрэн 	dʒalʊm 	jaluka 	cha- bureu-/bull- (of one's stomach) 	michi- ippai
183	new 	yeni 	Yenew ++	жаңы 	шинэ 	irkəkin 	ice 	sae saerop-/saerow- 	atarashi- arata
184	old 	eski 	Eskaldi = alt ++	эски; кары (people) 	хөгшин 	ʃagdɪ 	fe, sakda 	yes nalg- neulg- 	furu- ('old, used, worn') oi- ('to grow old, to age')
185	good 	iyi 	AY,JA,SI ++	жакшы 	сайн 	aya 	sain 	joh- 	yo-, ii
186	bad 	kötü 		жаман 	муу 	əru 	ehe 	nappeu- 	waru-
187	rotten 	bozuk 	bug’d sauerig чирик ++	чирик 	ялзарсан 	nukuntʃa 	niyaha, ibtenehe 	sseog- 	kusar-
188	dirty 	kirli 	<> khir=black ++	кир 	бохир, хиртэй 	bʊdʒar 	nantuhūn langse 	deoreop-/deoreow- 	kitana-
189	straight 	düz 		түз 	шулуун 	tʃitʃur 	sijirhūn 	god- bareu-/ball- 	sugu
190	round 	yuvarlak 	@	тегерек, тоголок, жумуру 	дугуй, дүгэриг 	boŋbəlin 	muheliyen 	dunggeul- 	maru-
191	sharp 	keskin 		курч 	хурц 	əmər 	dacun, šulihun, šolonggo 	nalkarop-/nalkarow- 	surudo-
192	dull 	kör (keskin değil) 		мокок 	мохоо 	mampa 	modo 	mudi- 	nibu-
193	smooth 	düz 		тегиз 	гөлгөр 	burtʃurin 	necin, bišun 	maekkeureop-/maekkeureow- 	nameraka
194	wet 	ıslak 	Lak <> aqua	ным 	нойтон 	wʊlapkʊn 	derbehun, usihin 	jeoj- 	nure-
195	dry 	kuru 	кургак Karga qry dry 	кургак 	хуурай 	ɔlgɔkin, iləŋ 	olhon 	mareu-/mall- 	kawak-
196	correct 	doğru (yanlış değil) 	d’agree ++	туура 	зөв 	tədʒə: 	acanaha, tob giyangga 	olh- bareu-/ball- olbareu-/olball- 	tadashi-
