№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
120,fly ,飞,fēi ,,++,飛 ,飞,verb ,fei˥˥ ,,,,,,,,,,,,,,,,
121,walk ,走 zǒulù ,zǒu ,go/zier,~+,走 ,走 zǒulù ,verb ,tsou˨˩˦ ,tsou˨˩lu˥˩ ,walk on foot (informal) ,走路 ,走路 bùxíng ,pu˥˩ɕiŋ˧˥ ,go on foot (formal) ,步行 ,步行,,,,,,,,
122,come ,来,lái ,alaive!,~,來 ,来,verb ,lai˧˥ ,,,,,,,,,,,,,,,,
123,lie ,躺,tǎng ,tangled;),,躺 ,躺,verb ,tʰɑŋ˨˩˦ ,,,,,,,,,,,,,,,,
124,sit ,坐,zuò ,zuòt,~+,坐 ,坐,verb ,tsuɔ˥˩ ,,,,,,,,,,,,,,,,
125,stand ,站,zhàn ,zhànd,~+,站 ,站,verb ,tʂan˥˩ ,,,,,,,,,,,,,,,,
126,turn ,转,zhuǎn ,change,~+,轉 ,转,verb ,tʂuan˨˩˦ ,,,,,,,,,,,,,,,,
127,fall ,落下 diàoxià ,luòxià ,runter,-,落下 ,落下 diàoxià ,verb ,luɔ˥˩ɕia˥˩ ,tiɑu˥˩ɕia˥˩ ,drop ,掉下 ,掉下,,,,,,,,,,,,
128,give ,给,gěi ,,++,給 ,给,verb ,kei˨˩˦ ,,,,,,,,,,,,,,,,
129,hold ,握 ná ,wò ,,,握 ,握 ná ,verb ,uɔ˥˧ ,na˧˥ ,,拿 ,拿,,,,,,,,,,,,
130,squeeze ,挤,jǐ ,,~-,擠 ,挤,verb ,tɕi˨˩˦ ,,,,,,,,,,,,,,,,
131,rub ,揉,róu ,,~++,揉 ,揉,verb ,ʐou˧˥ ,,,,,,,,,,,,,,,,
132,wash ,洗,xǐ ,Waxi < shui,~,洗 ,洗,verb ,ɕi˨˩˦ ,,,,,,,,,,,,,,,,
133,wipe ,擦,cā ,,,擦 ,擦,verb ,tsʰa˥˥ ,,,,,,,,,,,,,,,,
