 No 	English 	Oroqen (IPA) 	PIE – NO?	Manchu (MT) very different vocab	Altaic? Turk?	Turkmen 	Aryan		Hungarian = corrupted PIE/Turk	Best Uralic	Eurasian
158	dust 	tɔ:rag 		buraki		çaň, toz, tozan 	tozan Dust ++  çaň Sand duz:salt	✓✓	por 	పొగమంచు (poga)	Vapor, poga, fog, poly fly
159	earth 	tʊkala 	na.tur	na	~~~	toprak 	Top-terra +++ irak, earth, top-soil	✓	Föld > Feld!	Mother Earth @***	MUD мода  మట్టి (maṭṭi) maṭi მიწა mədr מע
160	cloud 	tukʃu 		tugi		bulut 	qvloud!! <<	✓	Felhő > flow@Höhe?		flow~fog? –
161	fog 	tamna 	duman  dunst	talman	Turk	duman 	dunst	~	köd 	Köd / udu 	Köd ~ Cloud / water ~ udu 
162	sky 	bʊwa 		abka		gök, asman, халлаан <> каç 𓎡𓎡𓐍𓆼𓇰	𓇯 𓎟 kak ciallah!!! ashaman Thor Typho	!!! <<>>	Ég < gök (turk!)	taiva½ !!!	Theus Taivan Tian
163	wind 	ədin 	Eden?	edun		ýel 	җил SHUYL @ ciel 	✓!	szél 	wōt, варма	Tuuli <> tornado?
164	snow 	ɪmana 	himala	nimanggi	+?	gar 	Kryo@kar ++	✓✓	hó lom 		雪xuě χιών lom 눈 <> khōľėm
165	ice 	umukʃu 	um.ice	juhe		buz муус 	b’ice m’ice  冫白  	✓!	jég 	jég 	~ice
166	smoke 	ʃaŋŋan 	shun.ok	šanggiyan		tüsse 	dust, t’ash <> torch dunst	✓	füst 		dust? Savuk?
167	fire 	tɔɣɔ 	Tűz 	tuwa	Hun	ot 	HOT!! 火 (p)huǒt	✓✓	Tűz < TORCH!	Tűz <> days?	Thyssen hotüz heitz Thijs Mathews מתתיהו
168	ash 	uləptən 		fulenggi		kül 	kühle gülle cool @kuhle?	✓~?	Hamu < хӯльм Kohlen 	tuhka 	torch *tuska => t’ash dash dust / khōľėm!
169	to burn (v.i.) 	dalga- 		deiji-		ötmek, otlamak; ýanmak 	hot.make yan?  çунмa~zünd	^	Ég < ash	Ash / palaa 	<pairon
170	road 	ɔktɔ 	okto 𓊖 vs kior	jugūn	+?	ýol 	jallah 길 gil суол gyro kior@KOR rollu 路	<✓	Út	Út, tie < route	*rotier 途 tú tiao 朩 道 dao 图 
171	mountain 	urə 	UR < KUR	alin	+	dag 	Dach™ <> dar / tai = tall	✓✓	Hegy < hagia > heigh!	mägi гöра 	Mega Kur < Gvura™
172	red 	ʊla:rɪn 		fulgiyan		gyzyl, kirmiz	KIRSCH.al ++ carnelian 	✓✓	vörös piros ~ purpuros	ruskie piron	rot burn ++
